player_id,player_name,team_abbr,games_played,total_pts,total_fga,total_fga2,total_fga3,total_fta,total_scoring_poss,pure_ts_pct,standard_ts_pct,delta_pp,C1a_events,C1a_pts,C1a_eff,C1b_events,C1b_pts,C1b_eff,C2_events,C2_pts,C2_eff,C3_events,C3_pts,C3_eff,C4_events,C4_pts,C4_eff,C5_events,C5_pts,C5_eff,C6a_events,C6a_pts,C6a_eff,C6b_events,C6b_pts,C6b_eff,C6c_events,C6c_pts,C6c_eff,C6d_events,C6d_pts,C6d_eff,C6e_events,C6e_pts,C6e_eff,C6f_events,C6f_pts,C6f_eff
1628983,Shai Gilgeous-Alexander,OKC,65,2020,1317,1153,164,695,1654,57.83,62.24,-4.41,1101,1120,50.86,164,168,34.15,252,455,90.28,1,3,100.0,52,153,98.08,0,0,,30,25,83.33,0,0,,0,0,,2,2,100.0,0,0,,52,94,90.38
1629029,Luka Dončić,DAL,62,1991,1367,856,511,628,1650,51.39,60.58,-9.18,784,862,54.97,510,519,33.92,204,305,74.75,8,21,87.5,72,192,88.89,1,3,75.0,15,10,66.67,1,0,0.0,0,0,,2,1,50.0,1,0,0.0,52,78,75.0
203954,Joel Embiid,PHI,64,2116,1299,1103,196,740,1643,59.88,65.12,-5.25,1029,1142,55.49,196,195,33.16,273,469,85.9,2,5,83.33,74,206,92.79,0,0,,20,17,85.0,1,2,100.0,0,0,,0,0,,2,2,100.0,46,78,86.67
1630162,Anthony Edwards,MIN,75,1827,1455,907,548,392,1627,47.45,56.13,-8.68,847,804,47.46,547,609,37.11,130,199,76.54,3,8,88.89,60,160,88.89,1,4,100.0,16,10,62.5,0,0,,0,0,,0,0,,0,0,,23,33,71.74
203944,Julius Randle,NYK,74,1861,1386,777,609,508,1607,47.85,57.81,-9.96,699,706,50.5,608,612,33.55,154,237,76.95,3,7,77.78,78,214,91.45,1,4,100.0,16,10,62.5,0,0,,0,0,,0,0,,0,0,,48,71,73.96
1629027,Trae Young,ATL,68,1760,1283,856,427,589,1570,49.13,57.06,-7.93,818,740,45.23,426,420,32.86,163,295,90.49,7,20,95.24,38,108,94.74,1,4,100.0,22,19,86.36,2,6,100.0,0,0,,8,8,100.0,3,3,100.0,82,137,83.54
203897,Zach LaVine,CHI,76,1894,1373,834,539,421,1567,51.11,60.77,-9.67,784,834,53.19,539,603,37.29,155,268,86.45,4,9,75.0,50,142,94.67,0,0,,16,12,75.0,0,0,,1,2,100.0,3,1,33.33,2,2,100.0,13,21,80.77
203507,Giannis Antetokounmpo,MIL,60,1859,1216,1050,166,729,1540,55.76,60.48,-4.73,957,1066,55.69,166,141,28.31,270,337,62.41,0,0,,93,248,88.89,0,0,,0,0,,4,5,62.5,2,4,100.0,2,2,100.0,2,0,0.0,44,56,64.37
1630224,Jalen Green,HOU,73,1616,1309,772,537,435,1519,45.01,53.85,-8.84,735,658,44.76,534,531,33.15,143,228,79.72,8,20,83.33,37,100,90.09,3,11,91.67,30,22,73.33,0,0,,0,0,,2,1,50.0,1,1,100.0,26,44,84.62
1627783,Pascal Siakam,TOR,70,1691,1293,1010,283,461,1500,50.75,56.52,-5.77,959,958,49.95,282,270,31.91,173,270,78.03,0,0,,51,143,93.46,1,3,75.0,1,0,0.0,0,0,,0,0,,1,1,100.0,1,0,0.0,31,46,74.19
1627759,Jaylen Brown,BOS,66,1748,1354,880,474,334,1496,49.72,58.23,-8.51,832,916,55.05,474,480,33.76,116,182,78.45,8,16,66.67,48,134,93.06,0,0,,6,3,50.0,1,2,100.0,0,0,,0,0,,0,0,,11,15,68.18
1628368,De'Aaron Fox,SAC,71,1759,1292,931,361,417,1477,52.3,59.61,-7.3,881,986,55.96,361,351,32.41,145,229,78.97,5,10,66.67,50,138,92.0,0,0,,4,1,25.0,1,3,100.0,0,0,,4,3,75.0,0,0,,26,38,73.08
1628378,Donovan Mitchell,CLE,64,1756,1312,714,598,322,1459,49.52,60.4,-10.88,678,724,53.39,596,675,37.75,75,129,86.0,11,30,90.91,36,104,96.3,2,8,100.0,18,16,88.89,4,7,70.0,0,0,,2,2,100.0,1,1,100.0,36,60,83.33
203468,CJ McCollum,NOP,75,1568,1344,801,543,238,1450,45.19,54.12,-8.93,776,702,45.23,541,627,38.63,74,107,72.3,7,18,85.71,25,72,96.0,2,8,100.0,5,4,80.0,0,0,,0,0,,2,1,50.0,0,0,,18,29,80.56
1629673,Jordan Poole,GSW,81,1648,1262,633,629,406,1444,46.29,57.2,-10.9,596,588,49.33,625,621,33.12,116,199,85.78,17,47,92.16,37,106,95.5,4,16,100.0,8,7,87.5,1,2,100.0,0,0,,3,2,66.67,4,2,50.0,33,58,87.88
201942,DeMar DeRozan,CHI,71,1695,1230,1097,133,479,1439,55.18,58.82,-3.65,1028,1008,49.03,130,123,31.54,174,303,87.07,2,6,100.0,69,196,94.69,3,11,91.67,11,11,91.67,3,5,83.33,0,0,,2,2,100.0,1,0,0.0,16,30,93.75
1629630,Ja Morant,MEM,60,1573,1198,904,294,487,1415,49.48,55.69,-6.21,843,814,48.28,294,270,30.61,166,250,75.3,3,5,55.56,61,169,92.35,0,0,,5,2,40.0,1,2,100.0,1,1,50.0,2,2,100.0,1,0,0.0,38,58,77.33
